epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.904,0.87844,0.67454,1.04265,0.98859,0.78929,0.87794,0.56607,1.42892,1.23075,1.21499,0.0033292,0.0033292,0.0033292
2,211.928,0.76082,0.46093,0.99666,0.8558,0.71623,0.83346,0.52793,1.43391,1.68066,1.28788,0.00659657,0.00659657,0.00659657
3,313.07,0.7883,0.49313,1.01547,0.96962,0.73371,0.84813,0.54746,1.53686,1.40542,1.37942,0.00979795,0.00979795,0.00979795
4,415.362,0.79199,0.48605,1.02561,0.95253,0.7491,0.84071,0.52682,1.56008,1.52225,1.40057,0.009703,0.009703,0.009703
5,516.81,0.73404,0.4437,1.00923,0.98082,0.73691,0.83975,0.53148,1.43941,1.25065,1.34458,0.009604,0.009604,0.009604
6,618.15,0.70252,0.42161,0.99594,0.93927,0.81756,0.86321,0.5397,1.62019,1.20267,1.50216,0.009505,0.009505,0.009505
7,720.717,0.67072,0.40432,0.98363,0.99233,0.71567,0.8116,0.54343,1.39265,1.35911,1.33079,0.009406,0.009406,0.009406
8,824.353,0.63855,0.38443,0.97155,0.97291,0.69754,0.81933,0.54006,1.61078,1.88223,1.47072,0.009307,0.009307,0.009307
9,924.165,0.62038,0.37409,0.96549,0.98631,0.71798,0.78104,0.51701,1.45759,1.25363,1.37584,0.009208,0.009208,0.009208
10,1024.03,0.59825,0.36001,0.95811,0.99569,0.71657,0.82264,0.556,1.53726,1.18658,1.47299,0.009109,0.009109,0.009109
11,1124,0.58643,0.35173,0.95443,0.99273,0.71405,0.83567,0.53879,1.41747,1.50305,1.31166,0.00901,0.00901,0.00901
12,1223.77,0.57169,0.34659,0.94647,0.9665,0.77907,0.86387,0.5804,1.47679,1.10844,1.46578,0.008911,0.008911,0.008911
13,1348.73,0.56437,0.33565,0.94515,0.98681,0.70948,0.7742,0.48076,1.5597,1.49027,1.39529,0.008812,0.008812,0.008812
14,1458.03,0.54777,0.32992,0.93908,0.97423,0.73912,0.84937,0.57866,1.46489,1.35086,1.40888,0.008713,0.008713,0.008713
15,1560.26,0.53495,0.32009,0.93516,0.99074,0.71001,0.86862,0.57266,1.52516,1.23264,1.36806,0.008614,0.008614,0.008614
16,1662.62,0.5219,0.31543,0.92827,0.9813,0.72519,0.84953,0.587,1.40167,1.371,1.37321,0.008515,0.008515,0.008515
17,1765.45,0.50986,0.3122,0.9254,0.97901,0.75191,0.82062,0.53799,1.39083,0.93058,1.32068,0.008416,0.008416,0.008416
18,1868.05,0.50822,0.30664,0.92451,0.95984,0.75143,0.86685,0.57592,1.35049,0.97537,1.3158,0.008317,0.008317,0.008317
19,1970.63,0.50296,0.30262,0.92427,0.99506,0.71843,0.85964,0.57186,1.5834,1.45218,1.47022,0.008218,0.008218,0.008218
20,2073.12,0.49084,0.29356,0.91505,0.99509,0.71627,0.8522,0.56879,1.62683,1.55602,1.61163,0.008119,0.008119,0.008119
21,2175.63,0.47785,0.28598,0.90948,0.96901,0.68834,0.83137,0.58187,1.3716,1.22259,1.39689,0.00802,0.00802,0.00802
22,2278.39,0.47694,0.28619,0.91073,0.97892,0.71718,0.81902,0.54022,1.62769,1.51996,1.50946,0.007921,0.007921,0.007921
23,2380.96,0.46847,0.28094,0.90975,0.99634,0.71549,0.8276,0.55702,1.51485,1.46811,1.40314,0.007822,0.007822,0.007822
24,2484.47,0.46002,0.27596,0.90238,0.99059,0.71142,0.83341,0.53397,1.56187,1.19009,1.46437,0.007723,0.007723,0.007723
25,2590.02,0.45578,0.27461,0.90637,0.99531,0.708,0.87144,0.571,1.36356,1.25278,1.34052,0.007624,0.007624,0.007624
26,2697.18,0.4647,0.27433,0.91323,0.99543,0.71794,0.85536,0.53552,1.49235,1.1001,1.43413,0.007525,0.007525,0.007525
27,2800.13,0.44771,0.26795,0.90394,0.98208,0.73321,0.88407,0.60948,1.31656,1.01275,1.26827,0.007426,0.007426,0.007426
28,2901.25,0.44975,0.26768,0.90564,0.99603,0.71641,0.81875,0.50862,1.58325,1.37185,1.48671,0.007327,0.007327,0.007327
29,3002.43,0.43909,0.26313,0.90245,0.99671,0.71641,0.8318,0.56362,1.52592,1.20238,1.52744,0.007228,0.007228,0.007228
30,3103.45,0.4297,0.25661,0.89794,0.99195,0.71433,0.83823,0.56697,1.38372,0.95697,1.36821,0.007129,0.007129,0.007129
31,3204.41,0.4339,0.26116,0.89782,0.98936,0.71641,0.82797,0.55119,1.50739,1.01214,1.43796,0.00703,0.00703,0.00703
32,3305.57,0.42674,0.2559,0.89374,0.99491,0.71565,0.83944,0.55571,1.44892,1.16811,1.43066,0.006931,0.006931,0.006931
33,3406.58,0.41736,0.25128,0.89109,0.99649,0.71765,0.84692,0.5557,1.52058,1.32705,1.44633,0.006832,0.006832,0.006832
34,3507.68,0.42687,0.2524,0.89818,0.99622,0.71347,0.84272,0.57338,1.45842,1.03751,1.40744,0.006733,0.006733,0.006733
35,3608.8,0.41662,0.24579,0.88992,0.9909,0.71559,0.84846,0.56383,1.57162,1.37025,1.45681,0.006634,0.006634,0.006634
36,3709.85,0.41013,0.24531,0.88768,0.9457,0.72061,0.8446,0.59044,1.44681,1.4664,1.37474,0.006535,0.006535,0.006535
37,3810.97,0.40324,0.241,0.88688,0.9893,0.71641,0.86407,0.56397,1.50141,1.04993,1.44226,0.006436,0.006436,0.006436
38,3912.02,0.40642,0.23976,0.88761,0.99036,0.72196,0.83101,0.55883,1.44625,1.21576,1.38597,0.006337,0.006337,0.006337
39,4013.23,0.40307,0.23867,0.88466,0.9864,0.71832,0.85308,0.5658,1.49172,1.0369,1.50363,0.006238,0.006238,0.006238
40,4114.28,0.39691,0.23472,0.88219,0.99697,0.71652,0.8208,0.56081,1.41337,1.23705,1.35243,0.006139,0.006139,0.006139
41,4215.37,0.39369,0.2351,0.88101,0.99687,0.71634,0.84089,0.56532,1.45168,1.2456,1.37466,0.00604,0.00604,0.00604
42,4316.45,0.39038,0.23434,0.88074,0.99513,0.71302,0.83948,0.57736,1.36499,0.96287,1.37941,0.005941,0.005941,0.005941
43,4417.69,0.38868,0.23209,0.87913,0.98438,0.71525,0.84315,0.56376,1.38156,1.23761,1.36363,0.005842,0.005842,0.005842
44,4518.73,0.38701,0.23206,0.88038,0.99648,0.71641,0.84571,0.59182,1.3033,1.12544,1.3114,0.005743,0.005743,0.005743
45,4619.83,0.38207,0.22946,0.87841,0.995,0.71641,0.85102,0.59684,1.40003,1.19439,1.39017,0.005644,0.005644,0.005644
46,4720.77,0.37454,0.22535,0.8766,0.99242,0.71794,0.83511,0.57693,1.51133,1.11207,1.54399,0.005545,0.005545,0.005545
